City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,inverloch,-38.6333,145.7167,14.69,87,8,3.07,AU,1708274022
255,lompoc,34.6391,-120.4579,14.91,67,75,5.36,US,1708274022
256,baharly,38.4362,57.4316,-0.26,86,96,3.18,TM,1708274022
257,morehead city,34.7229,-76.726,7.24,63,0,2.57,US,1708274022
258,buta,2.7858,24.73,28.59,54,93,1.38,CD,1708274023
259,san matias,-16.3667,-58.4,38.41,32,43,2.6,BO,1708274023
260,hawaiian paradise park,19.5933,-154.9731,21.73,86,100,4.12,US,1708274023
261,east porterville,36.0574,-118.9757,14.66,93,0,0.0,US,1708274023
262,whitby,54.4877,-0.615,12.81,79,20,3.13,GB,1708273876
263,mormugao,15.4,73.8,25.19,75,9,2.93,IN,1708274024
264,maitum,6.0392,124.4986,26.23,82,8,2.1,PH,1708274024
265,evergreen,39.6333,-105.3172,4.76,31,76,1.34,US,1708274024
266,masterton,-40.9597,175.6575,17.28,81,19,5.08,NZ,1708274025
267,alta,69.9689,23.2717,-2.41,83,75,19.22,NO,1708274025
268,aberdeen,57.1437,-2.0981,12.33,70,40,3.6,GB,1708273809
269,jeddah,21.5169,39.2192,24.92,36,0,6.69,SA,1708273696
270,ambovombe,-25.1667,46.0833,23.56,81,50,8.9,MG,1708274026
271,kribi,2.95,9.9167,29.53,70,67,4.55,CM,1708274026
272,gorontalo,0.5412,123.0595,22.88,92,94,1.77,ID,1708274026
273,saint-junien,45.8833,0.9,11.32,92,100,1.74,FR,1708274026
274,tofol,5.3248,163.0078,28.0,75,84,4.38,FM,1708274026
275,villa bruzual,9.3328,-69.1208,36.1,30,24,2.38,VE,1708274027
276,auna,10.1881,4.7232,34.67,16,74,2.7,NG,1708274027
277,tateyama,34.9833,139.8667,15.05,73,23,7.11,JP,1708274027
278,kitui,-1.367,38.0106,24.6,49,100,2.69,KE,1708274027
279,udachny,66.4167,112.4,-26.42,75,100,5.21,RU,1708274028
280,quelimane,-17.8786,36.8883,29.97,66,40,4.22,MZ,1708274028
281,rio grande,-32.035,-52.0986,28.06,75,29,7.21,BR,1708274028
282,kirakira,-10.4544,161.9205,26.84,87,100,2.41,SB,1708274028
283,altamira,-3.2033,-52.2064,27.99,89,96,2.41,BR,1708274028
284,miches,18.9836,-69.0476,29.11,53,2,6.33,DO,1708274029
285,avarua,-21.2078,-159.775,24.03,78,99,1.54,CK,1708274029
286,odienne,9.51,-7.5692,37.59,12,3,1.36,CI,1708274032
287,ugoofaaru,5.6667,73.0,28.22,80,58,7.62,MV,1708274032
288,juan griego,11.0817,-63.9655,29.07,61,6,8.75,VE,1708274032
289,haiku-pauwela,20.9219,-156.3051,20.02,84,100,4.12,US,1708274033
290,lata,40.1629,-8.3327,19.95,65,81,1.69,PT,1708274033
291,selfoss,63.9331,-20.9971,4.47,97,95,3.58,IS,1708274033
292,kenai,60.5544,-151.2583,0.03,80,100,6.17,US,1708274019
293,tambura,5.6,27.4667,29.62,19,77,1.94,SS,1708274034
294,labytnangi,66.6572,66.4183,-13.96,95,100,7.72,RU,1708274034
295,leninskoye,41.7589,69.3864,-0.65,97,100,3.47,KZ,1708274035
296,weno,7.4515,151.8468,27.78,76,27,10.58,FM,1708274035
297,karratha,-20.7377,116.8463,29.11,64,1,6.82,AU,1708274035
298,carnarvon,-24.8667,113.6333,27.05,72,51,2.67,AU,1708274036
299,terenozek,45.05,64.9833,-9.42,43,100,9.77,KZ,1708274036
300,talnakh,69.4865,88.3972,-24.33,97,100,6.55,RU,1708273998
301,banda aceh,5.5577,95.3222,26.68,80,98,4.46,ID,1708274037
302,kerema,-7.9631,145.7785,26.35,81,68,1.39,PG,1708274037
303,atafu village,-8.5421,-172.5159,28.72,78,99,5.07,TK,1708273849
304,virginia,37.5481,-77.4467,5.02,41,75,4.12,US,1708273839
305,walvis bay,-22.9575,14.5053,22.53,53,0,2.06,NA,1708274038
306,nuku'alofa,-21.1333,-175.2,26.19,78,20,6.69,TO,1708274038
307,bridlington,54.0831,-0.1919,13.27,78,43,0.89,GB,1708274039
308,tura,25.5198,90.2201,16.55,35,25,1.33,IN,1708274039
309,suva,-18.1416,178.4415,24.71,94,75,2.57,FJ,1708274039
310,yamada,39.4667,141.95,8.07,80,2,2.69,JP,1708274039
311,san pedro pochutla,15.7333,-96.4667,28.84,46,40,2.58,MX,1708274040
312,popayan,2.4382,-76.6132,26.68,48,96,1.36,CO,1708273935
313,aykhal,66.0,111.5,-24.51,98,100,2.59,RU,1708274041
314,kone,-21.0595,164.8658,23.28,89,1,1.88,NC,1708274041
315,sirte,31.2089,16.5887,16.44,69,100,6.7,LY,1708274042
316,mont-dore,-22.2833,166.5833,22.99,85,2,3.1,NC,1708274042
317,lethem,3.3803,-59.7968,36.76,31,31,5.5,GY,1708274043
318,aripuana,-9.1667,-60.6333,26.03,85,100,1.51,BR,1708274043
319,penhalonga,-18.8911,32.6978,19.21,68,5,1.56,ZW,1708274044
320,el galpon,-25.3807,-64.6526,33.07,43,80,2.39,AR,1708274044
321,dorado,18.4588,-66.2677,31.77,61,40,6.69,PR,1708274045
322,alofi,-19.0595,-169.9187,25.94,73,95,5.66,NU,1708274045
323,enewetak,11.3474,162.3373,26.09,78,90,6.66,MH,1708274045
324,harper,4.375,-7.7169,29.66,70,98,3.51,LR,1708274045
325,mahanje,-9.9333,35.3333,20.9,93,100,0.46,TZ,1708274046
326,kencong,-8.2833,113.3667,25.0,87,100,1.17,ID,1708274046
327,palembang,-2.9167,104.7458,26.05,94,40,1.54,ID,1708274046
328,port lincoln,-34.7333,135.8667,18.51,82,19,6.24,AU,1708274047
329,buka,40.8108,69.1986,-0.02,100,100,2.21,UZ,1708274047
330,mae chan,20.1467,99.8526,20.81,26,0,1.08,TH,1708274047
331,ko lanta,7.5336,99.0865,26.54,80,55,5.75,TH,1708274047
332,volnovakha,47.601,37.4967,0.81,81,100,1.92,UA,1708274048
333,spring creek,40.7266,-115.5859,1.56,91,98,3.86,US,1708274048
334,guerrero negro,27.9769,-114.0611,16.67,70,68,6.57,MX,1708274048
335,daru,-9.0763,143.2092,26.94,84,76,1.6,PG,1708274049
336,puerto lempira,15.2667,-83.7667,29.08,70,75,4.12,HN,1708274049
337,keflavik,64.0049,-22.5624,6.95,87,75,5.66,IS,1708274049
338,glubokoye,50.1456,82.3114,-32.14,75,40,3.0,KZ,1708274049
339,maqat,47.65,53.3167,-8.14,74,31,4.64,KZ,1708274049
340,happy valley-goose bay,53.3168,-60.3315,-11.83,79,100,3.6,CA,1708274050
341,mangrol,21.1167,70.1167,23.47,72,54,3.86,IN,1708274050
342,semporna,4.4818,118.6112,25.78,85,70,2.84,MY,1708274050
343,al hillah,32.4801,44.4353,16.44,52,0,3.59,IQ,1708274050
344,tipasa,36.5897,2.4475,15.55,87,53,2.26,DZ,1708274051
345,chimoio,-19.1164,33.4833,28.92,54,75,2.46,MZ,1708274051
346,vadso,70.0744,29.7487,-3.91,86,75,5.14,NO,1708274051
347,suleja,9.1758,7.1808,35.55,13,54,1.7,NG,1708274051
348,moissala,8.3404,17.7663,31.87,17,98,0.47,TD,1708274051
349,dublyany,49.9041,24.0864,1.2,68,100,0.75,UA,1708274052
350,edd,13.9297,41.6925,24.99,76,24,6.66,ER,1708274052
351,dornbirn,47.4167,9.7331,11.54,89,100,0.85,AT,1708274052
352,vorkuta,67.5,64.0,-14.83,95,100,8.95,RU,1708274052
353,sofiyivka,48.0493,33.8746,3.33,95,100,5.35,UA,1708274052
354,kapuskasing,49.4169,-82.4331,-12.95,72,100,8.23,CA,1708274053
355,makushino,55.2103,67.2442,-24.93,98,6,2.97,RU,1708274053
356,rehoboth,-23.3167,17.0833,32.47,8,46,9.67,NA,1708274053
357,tolanaro,-25.0319,46.9987,25.04,88,75,6.17,MG,1708274053
358,atamyrat,37.8357,65.2106,2.59,39,58,4.69,TM,1708274054
359,puerto deseado,-47.7503,-65.8938,22.21,29,95,8.78,AR,1708274054
360,prince george,53.9166,-122.753,-14.31,85,100,0.0,CA,1708274054
361,tonj,7.2737,28.6822,31.97,14,62,2.03,SS,1708274054
362,saint-pierre,-21.3393,55.4781,26.82,69,0,11.83,RE,1708274059
